
Position: 1/1 (rnbq1rkn/ppp1bp1p/3pp1pP/8/3P4/2N2NP1/PPP1PPB1/R1BQK2R w KQ - 0 9)
LMR,4,1,3,4,2,-1276,0,1,0,0,0,-247,-246,-312,-134,-191,-246,4,22
LMR,3,1,2,2,4,-1276,0,1,0,0,0,-247,-246,-276,-171,-236,-211,3,9
LMR,5,1,4,5,2,2373,0,1,0,0,0,-344,-343,-382,-316,-287,-316,4,19
LMR,5,1,4,4,3,-1516,0,1,0,0,0,-344,-343,-355,-183,-318,-318,2,12
LMR,3,1,2,3,3,4818,0,1,0,0,0,-344,-343,-344,-302,-245,-262,1,3
LMR,5,1,4,4,5,-4425,0,1,0,0,1,-344,-343,-349,-200,-340,-344,2,25
LMR,5,1,4,4,6,-3049,0,1,0,0,1,-344,-343,-344,-200,-322,-349,1,12
LMR,5,1,4,3,14,-5771,0,1,0,0,1,-344,-343,-344,-200,-338,-360,2,7
LMR,5,1,4,4,2,137,0,1,0,0,0,-361,-360,-362,-166,-329,-360,1,5
LMR,5,1,4,3,4,-5096,0,1,0,0,0,-338,-337,-338,-295,-337,-338,3,5
LMR,4,1,3,3,4,-6803,0,1,0,0,0,353,354,353,425,369,353,2,25
LMR,4,1,3,3,3,5423,0,0,0,0,0,-353,-352,-356,-377,-341,-340,4,5
LMR,4,1,3,4,2,306,0,1,0,0,0,352,353,283,344,353,342,10,18
LMR,5,1,4,4,12,-2583,0,1,1,0,0,-336,-335,-336,-321,-315,-308,4,7
LMR,3,1,2,2,2,6090,0,1,0,0,0,-336,-335,-369,-336,-330,-331,2,3
LMR,3,1,2,2,5,-3087,0,1,0,0,0,-314,-313,-322,-272,-297,-349,2,3
LMR,5,1,4,5,2,115,0,1,0,0,0,-336,-335,-416,-241,-331,-313,4,14
LMR,8,4,7,7,17,-13354,0,0,0,0,1,335,336,327,338,336,331,16,20
LMR,5,1,4,4,2,13148,0,1,0,0,0,-336,-335,-342,-257,-306,-305,1,6
LMR,7,4,6,6,2,12061,0,1,0,0,1,-336,-335,-344,-125,-307,-323,6,18
LMR,5,1,4,4,2,2273,0,1,0,0,0,-320,-319,-345,-328,-319,-315,6,12
LMR,7,2,6,5,4,-6660,0,0,0,0,0,319,320,319,310,320,315,13,20
LMR,5,2,4,4,4,-1327,0,0,0,0,1,319,320,308,319,320,320,6,8
LMR,3,1,2,3,2,-1056,0,1,1,0,0,-320,-319,-406,-370,-205,-225,1,4
LMR,4,1,3,4,12,-10007,0,1,0,0,0,-320,-319,-366,-272,-219,-270,2,3
LMR,4,1,3,3,3,7204,0,1,0,0,0,-320,-319,-320,-290,-296,-288,3,5
LMR,3,1,2,2,3,683,0,1,0,0,1,-343,-342,-359,-269,-319,-319,1,0
LMR,3,1,2,2,2,-3342,0,1,0,0,0,-320,-319,-332,-263,-319,-319,7,23
LMR,5,1,4,3,16,-10537,0,1,0,0,0,-299,-298,-299,-262,-298,-298,5,7
LMR,10,3,9,9,24,-7700,0,0,0,0,0,298,299,298,305,307,280,7,33
LMR,4,1,3,3,2,14056,0,1,0,0,0,-324,-323,-348,-272,-322,-317,2,8
LMR,4,1,3,4,2,7744,0,1,0,0,0,-299,-298,-303,-227,-236,-271,1,2
LMR,6,1,5,5,3,-881,0,1,0,0,0,-299,-298,-299,-163,-286,-275,4,8
LMR,3,1,2,3,2,16689,0,1,0,0,0,-326,-325,-388,-148,-234,-250,1,1
LMR,5,1,4,5,4,-699,0,1,0,0,0,-299,-298,-313,-199,-178,-248,1,4
LMR,10,5,9,9,2,31867,0,1,0,0,0,-299,-298,-299,-287,-282,-282,11,37
LMR,7,1,6,5,19,-13360,0,1,0,0,0,-299,-298,-299,-210,-298,-282,2,7
LMR,4,1,3,3,6,-1276,0,0,0,0,0,298,299,267,280,317,314,4,6
LMR,5,1,4,4,2,1681,0,1,0,0,0,-299,-298,-311,-272,-280,-311,6,16
LMR,9,6,8,8,2,-4449,0,0,0,0,0,298,299,284,315,306,306,36,30
LMR,10,6,9,8,5,-6294,0,0,0,0,1,298,299,298,304,305,305,120,0
LMR,3,1,2,2,3,27955,0,1,0,0,0,-315,-314,-315,-323,-298,-308,2,2
LMR,4,1,3,2,5,-2969,0,1,0,0,0,313,314,313,349,314,314,7,4
