50-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
51-replay-positive: still_fail_low, localnodes +0, rootnodes +0
51-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
52-replay-positive: still_fail_low, localnodes +0, rootnodes +0
52-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
53-replay-positive: still_fail_low, localnodes +0, rootnodes +0
53-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
54-replay-positive: still_fail_low, localnodes +0, rootnodes -8798
54-replay-nonpositive: still_fail_low, localnodes +1, rootnodes -7847
55-replay-positive: still_fail_low, localnodes +0, rootnodes +0
55-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
56-replay-positive: still_fail_low, localnodes +0, rootnodes +0
56-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
57-replay-positive: still_fail_low, localnodes +0, rootnodes +0
57-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
58-replay-positive: still_fail_low, localnodes +0, rootnodes +0
58-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
59-replay-positive: still_fail_low, localnodes +0, rootnodes +0
59-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
60-replay-positive: still_fail_low, localnodes +0, rootnodes +0
60-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
61-replay-positive: still_fail_low, localnodes +5, rootnodes +12030
61-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
62-replay-positive: still_fail_low, localnodes +0, rootnodes +0
62-replay-nonpositive: still_fail_low, localnodes +0, rootnodes +0
63-replay-positive: still_fail_low, localnodes +0, rootnodes +0
63-replay-nonpositive: still_fail_low, localnodes +0, rootnodes -486
